On 07/31/2015 at 16:10:19, Keepbotting used command (gfdgfgfgd)
On 07/31/2015 at 16:10:40, Keepbotting used command (mypos)
On 07/31/2015 at 16:11:28, Keepbotting used command: [testfsfdfs]
On 07/31/2015 at 16:12:01, Keepbotting used command: [ban a player]
On 07/31/2015 at 16:45:20, Keepbotting used the command [max]
On 07/31/2015 at 16:46:27, Keepbotting used the command [noclip]
On 07/31/2015 at 16:46:36, Keepbotting used the command [mypos]
On 07/31/2015 at 16:46:42, Keepbotting used the command [tele 2810 3422 1]
On 08/01/2015 at 09:32:41, Keepbotting used the command [item 995 100000]
On 08/01/2015 at 09:32:46, Keepbotting used the command [item 995]
On 08/01/2015 at 09:33:55, Keepbotting used the command [item]
On 08/01/2015 at 09:33:59, Keepbotting used the command [item 995]
On 08/01/2015 at 09:34:03, Keepbotting used the command [item 995 10000]
On 08/01/2015 at 09:34:06, Keepbotting used the command [item]
On 08/01/2015 at 09:34:58, Keepbotting used the command [item 994]
On 08/01/2015 at 09:35:01, Keepbotting used the command [item 994 1]
On 08/01/2015 at 09:35:04, Keepbotting used the command [item 995]
On 08/01/2015 at 09:35:45, Keepbotting used the command [item]
On 08/01/2015 at 09:35:49, Keepbotting used the command [item 995]
On 08/01/2015 at 09:35:55, Keepbotting used the command [item 995 10]
On 08/01/2015 at 09:37:28, Keepbotting used the command [item 995 100]
On 08/01/2015 at 09:38:47, Keepbotting used the command [item 995]
On 08/01/2015 at 09:39:19, Keepbotting used the command [item 995 1000]
On 08/01/2015 at 09:40:13, Keepbotting used the command [item 995]
On 08/01/2015 at 09:40:17, Keepbotting used the command [item 995 10000]
On 08/01/2015 at 09:41:28, Keepbotting used the command [item 995 1000]
On 08/01/2015 at 09:41:33, Keepbotting used the command [item 995]
On 08/01/2015 at 09:41:38, Keepbotting used the command [item 995]
On 08/01/2015 at 09:44:21, Keepbotting used the command [item 995]
On 08/01/2015 at 09:44:24, Keepbotting used the command [item 995 1000]
On 08/01/2015 at 09:56:54, Keepbotting used the command [item 123]
On 08/01/2015 at 09:56:58, Keepbotting used the command [item 123 5]
On 08/01/2015 at 09:58:15, Keepbotting used the command [item 111]
On 08/01/2015 at 09:58:19, Keepbotting used the command [item 111 5]
